단어,빈도수
뉘었다,5
이나,4
낚싯배,4
서랍,4
숙제,4
전이,4
최소한,4
갈수,4
르,4
검정,4
반닫이,4
분별,4
또박또박,4
와이셔츠,4
일본어,4
벌,4
맛,4
우려,4
두툼,4
아래층,4
보관,4
껄껄,4
악,4
불분명,4
발음,4
운행,4
쇠,4
갓,4
가의,4
디,4
혼,4
입지,4
적막,4
수수께끼,4
솜,4
구부리,4
양반,4
방해,4
기세,4
어른,4
울림,4
새끼손가락,4
비치,4
헤,4
돼지고기,4
홀리데이,4
옥죄,4
관련,4
외치,4
직,4
바랜,4
구둣발,4
시기,4
너희,4
실태,4
눈가,4
꾼,4
은박,4
들쥐,4
가난,4
글씨,4
교무,4
희망이,4
색채,4
연한,4
장마,4
휴일,4
반응,4
실수,4
삼분,4
따라서,4
육지,4
야산,4
발행,4
기진,4
품,4
신경,4
연도,4
영도,4
홈,4
직감,4
틀,4
켜,4
앳된,4
흥분,4
태운,4
갑,4
평화,4
야간,4
보조,4
한편,4
지탱,4
낚시,4
증오,4
충,4
편집,4
회의,4
반항,4
살갖,4
황곡역,4
광화문,4
응급실,4
차지,4
허락,4
음음,4
엉거주춤,4
큰길,4
얘,4
그림,4
여럿,4
도시락,4
포복,4
주문,4
여름날,4
움푹,4
인터뷰,4
밤색,4
뿔테,4
복사기,4
흑판,4
진정,4
톱밥,4
굽이,4
조립,4
경비실,4
말씀,4
었는데,4
았던,4
꿈틀,4
변기,4
다,4
선로,4
티셔츠,4
벽돌,4
층집,4
서행,4
폐차,4
심지어,4
해안,4
집안,4
녹,4
여유,4
설마,4
난간,4
환기,4
책상다리,4
쇼,4
윈도,4
피부,4
석유,4
런,4
대요,4
쉰,4
상기,4
라디오,4
조명,4
병방,4
정황,4
여느,4
또한,4
먹구름,4
공사,4
절반,4
쓰레기봉지,4
쓰레기,4
샤워,4
타지,4
짐짓,4
지속,4
그물,4
가스,4
모금,4
쥐색,4
지하도,4
무관,4
할머니,4
친김,4
평생,4
우스,4
가위,4
왈칵,4
경이,4
창틀,4
형식,4
뭉크,4
버릇,4
혼령,4
반듯이,4
글쎄요,4
마르고,4
핏기,4
기어이,4
먼발치,4
창턱,4
선택,4
운영,4
먹물,4
흑백사진,4
기슭,4
목욕탕,4
측면,4
검은색,4
무시,4
상황,4
징,4
나흘,4
묶음,4
엉덩이,4
울음소리,4
건너,4
어제,4
남지,4
온통,4
매력,4
숟가락,4
형체,4
정수리,4
풍선,4
귀염,4
지상,4
모퉁이,4
전화번호,4
닷,4
안색,4
스커트,4
그땐,4
진열,4
라며,4
주방,4
동요,4
온수,4
팔다리,4
부인,4
코르덴,4
몸뚱,4
나가야,4
친밀,4
거품,4
설득,4
차도,4
장부,4
스타일,4
카운터,4
미련,4
트리밍,4
싱크대,4
냉장고,4
이용,4
액자,4
조차,4
간지,4
그믐밤,4
표지,4
이천,4
필터,4
오줌,4
필자,4
결정,4
조치,4
쩍,4
작업실,4
싸인,4
왼손,4
깜박,4
온갖,4
떼,4
악몽,4
곤혹,4
남자에게,4
남매,4
오케이,4
블라우스,4
갖,4
드,4
환영,4
흑백,4
언뜻,4
구별,4
몰골,4
경찰서,4
학,4
사이사이,4
북쪽,4
었,4
흐흐,4
포장마차,4
꼼짝,4
썰물,4
비탈,4
현금,4
중고,4
햇살,4
벗,4
로서,4
신경질,4
심장,4
베개,4
유학,4
으레,4
그로,4
단아,4
생시,4
발라,4
지그시,4
아빠,4
이자,4
산길,4
개천,4
다짐,4
자전거,4
호적,4
적의,4
웃기,4
암흑,4
독자,4
진담,4
과묵,4
신의,4
삼십분,4
명부,4
악의,4
영세,4
전공,4
자신감,4
앞쪽,4
육중,4
베니어,4
친친,4
정강이,4
억양,4
녹초,4
형성,4
성벽,4
호감,4
일부,4
찌,4
첫날,4
산골,4
한나절,4
황곡행,4
뒤채,4
펜,4
형태,4
광채,4
지불,4
전복,4
수영,4
그네,4
제각기,4
저으,4
몰입,4
제일,4
꿈속,4
대처,4
탈출,4
고막,4
무기,4
술집,4
아기,4
각각,4
두서,4
노,4
슬레이트,4
단층,4
한눈,4
발작,4
연결,4
칼날,4
내기,4
열정,4
거지,4
처녀,4
치료,4
예,4
재미,4
밑바닥,4
걷기,4
전형,4
역사,4
오직,4
슬픔,4
가라,4
영혼,4
압축,4
기관차,4
무게,4
관목,4
살수,4
세월,4
광고,4
팔절,4
권,4
합격,4
노골,4
필체,4
택,4
화재,4
의사,4
거짓,4
러닝,4
거머,4
핵,3
세로,3
비비,3
노점,3
에너지,3
보더,3
색색,3
쌀,3
트리,3
황사,3
얼룩,3
허겁지겁,3
분량,3
광주,3
정문,3
아픔,3
새치,3
밴드,3
질투,3
거무,3
별거,3
현,3
어딘,3
태,3
돌발,3
자꾸,3
발길,3
메모,3
사춘기,3
매표구,3
함석,3
녹색,3
요란,3
누렇,3
불과,3
짜증,3
기름,3
몸서리,3
배회,3
합격자,3
명단,3
생활비,3
골몰,3
사려,3
흠칫,3
고생,3
심경,3
장보,3
우리나라,3
러운,3
오십천,3
초저녁,3
심심,3
입김,3
변색,3
여보,3
산이,3
숙소,3
물체,3
성큼성큼,3
별일,3
장롱,3
봉제,3
화면,3
점심시간,3
가신,3
적용,3
경황,3
소수,3
관광,3
커피,3
끼리,3
상대방,3
무감각,3
옷차림,3
묶인,3
사업,3
헤엄,3
마중,3
기름기,3
손질,3
손깍지,3
연달,3
버럭,3
강읍,3
탐색,3
매일,3
톤,3
영한사전,3
결과,3
제스처,3
등본,3
통제,3
음료수,3
거듭,3
충혈,3
시지,3
말수,3
청탁,3
벌이,3
성적,3
군용,3
과외,3
괴로움,3
자랑,3
이십오,3
부서,3
매혹,3
종,3
스토리,3
굳이,3
호두과자,3
좌우,3
스트로,3
댁,3
사서,3
일부러,3
먹기,3
멘트,3
정목,3
앞머리,3
소동,3
열한,3
머금었다,3
실종,3
잠결,3
앞뒤,3
국,3
은색,3
어귀,3
레이,3
레,3
지게,3
저리,3
응달,3
딱지,3
인형,3
우연이,3
주병,3
기둥,3
사진가,3
뚝뚝,3
어학,3
영락,3
몰래,3
고무,3
겉옷,3
무니,3
대자,3
차고,3
슬,3
슴,3
어차피,3
균형,3
자존심,3
센티,3
미화,3
희끗,3
고비,3
종일,3
마다,3
형제,3
무방비,3
신상,3
당한,3
일과,3
경기,3
관방,3
까풀,3
누이,3
록,3
차량,3
맹목,3
역정,3
설계,3
우물,3
건성,3
나비,3
씨,3
가시,3
장례식,3
곳곳,3
살짝,3
조화,3
바닷가,3
젖,3
핑계,3
국물,3
오라,3
자의,3
음험,3
선의,3
똬리,3
답지,3
신혼부부,3
프로그램,3
번화가,3
한구석,3
일렬,3
장판,3
직사각형,3
고발,3
꼭꼭,3
치면,3
나일론,3
응답,3
벌떡,3
학창,3
발바닥,3
군,3
레일,3
세대,3
분진,3
