단어,빈도수
점퍼,7
뜬,7
비닐,7
수도꼭지,7
느껴지는,7
아니고,7
열차표,7
덮인,7
간이,7
과일,7
팔고,7
없는데,7
점방,7
흘러나온,7
하니,7
임씨,7
가작,7
사건,7
화제,7
벗어,7
여인,7
찔러,7
했다면,7
갔,7
일으켜,7
모포,7
후반,7
떠날,7
애정,7
승객,7
검게,7
쉽게,7
동사무소,7
겁니다,7
운명,7
받이에,7
붙인,7
비스듬히,7
끄덕였다,7
합,7
푸르스름,7
이지만,7
승낙,7
짧게,7
카드,7
무뚝뚝하게,7
치마,7
철제,7
꺼냈다,7
몸짓,7
우두커니,7
떠올랐다,7
소리내어,7
걸이,7
파는,7
그린,7
복,7
계란,7
진지한,7
기계,7
단단한,7
껍데기,7
삶은,7
적은,7
열자,7
믿을,7
영안,7
했죠,7
명의,7
드러나,7
돌려,7
뒤쪽,7
양복,7
취중,7
찾아가,7
보자,7
아니라고,7
흐,7
동전,7
살갗,7
풀이,7
설,7
연약한,7
들어간,7
짚고,7
돌아가고,7
웅덩이,7
짜리,7
실내,7
놀라,7
조용한,7
오래된,7
껍질,7
헤매어,7
기록,7
참을,7
뭉치,7
끝날,7
응,7
피해,7
않으며,7
버려진,7
들어가는,7
희,7
까지만,7
그렇다고,7
되었던,7
보도,7
미처,7
부끄러움,7
만하,7
그야말로,7
견디지,7
안개,7
발가락,7
돌아섰다,7
권,7
꺼내어,7
녹아,7
진눈깨비,7
입속,7
수만,7
덩이,7
그치지,7
자주,7
그나마,7
쓸쓸한,7
5,7
영화,7
거울,7
젠,7
붙이,7
싶어요,7
돌아,7
새끼,7
비난,7
소개,7
욕,7
흠뻑,7
드문,7
먹을,7
소식,7
있소,7
변화,7
싶다고,7
과거,7
웃으면서,7
굴러,7
오면,7
개인,7
조건,7
맞,7
무서운,7
되던,7
공장,7
인구,7
인하여,7
물었었다,7
하지도,7
무표정,7
셈이었다,7
일정,7
괜찮아요,7
겁,7
시장,7
새어,7
그리로,7
외부,7
가지런히,7
있었을까,7
별,6
덮,6
아니라는,6
